token,token_tag
وقتی,N
داشتن,C
سیم‌خاردار,N
نصب,N
می‌کردند,F
کشته,N
شدند,F
,
طاقت,N
دوستم,F
را,F
بریده,N
اوه,N
مولی,N
,
پس,N
اینها,F
دیگه,C
رشد,N
نمیکنن؟,C
,
اما,N
زمین,N
های,F
طلایی,N
مقابلم,N
هستن,C
,
می‌روم,F
به,N
خانه,F
تا,N
مادرم,N
را,F
ببینم,N
,
فقط,N
شامل,N
صندلی,N
های,F
ارزون,C
قیمت,N
و,N
زنجیز,N
و,N
وسایل,N
مانع,N
نفوذ,N
صدا,N
,
تو,N
از,N
نیروهای,F
من,N
نیستی,F
نه,N
قربان,N
,
ولی,N
نمی‌خواسته,C
که,N
بذارتش,C
درون,N
کوله,N
پشتیش,N
و,N
این‌طرف,N
آن‌طرف,F
با,N
خودش,N
آن,F
را,F
ببرد,F
,
اما,N
در,N
پیش,N
رویم,F
زمین‌های,F
طلایی‌اند,F
,
محض,N
رضای,N
خدا,N
پسر,N
برو,N
پیش,N
سروان,N
,
من,N
فقط,N
میگم,C
صبر,F
کنیم,N
,
فکر,F
می‌کردم,N
اینجا,N
حداقل,N
یک‌لقمه,N
غذا,N
گیرم,C
می‌آید,F
,
نیروی,N
جایگزین,N
مون,C
هستید؟,F
نه,N
قربان,N
,
اینها,F
را,F
از,N
کجا,N
می‌دانی؟,F
,
سرجوخه‌های,N
هم,N
ردیف,N
بلیک,N
و,N
اسکافیلد,N
قربان,N
,
هیچی,N
مثل,F
یه,C
تیکه,C
روبان,N
جای,N
شوهر,N
مرده,N
یه,C
زن,N
رو,C
پر,N
نمیکنه,C
,
به,N
سوی,N
رود,N
اردن,N
خواهم,F
رفت,F
,
هی,N
کسی,N
به,N
کیفم,N
دست,F
زده؟,C
,
دستور,N
برای,F
لغو,N
حمله,N
ی,N
فردا,N
صبح,F
,
این,N
حمله,N
نباید,N
انجام,N
بشود,F
دستور,N
توقف,N
به,N
شما,N
داده‌شده,N
,
اوه,N
محض,N
رضای,N
خدا,N
تکونش,C
بدهید,F
دیگر,F
,
سرجوخه,N
بقیه,N
هرکاری,N
بخوان,C
بکنن,C
باید,N
بقیه,N
منظم,N
باشن,C
,
بلیک,N
باید,N
چندلحظه,F
در,N
موردش,N
صحبت,N
کنیم,N
,
خیلی,N
خب,N
حتماً,N
شکایتت,N
را,F
به,N
گوش,N
فرمانده,N
می‌رسانم,F
,
افراد,N
زیادی,N
برای,F
آن,F
مرده,N
بودن,C
,
می‌دانم,F
که,N
مسیرم,N
سخت,N
و,N
دشوار,N
خواهد,F
بود,N
,
قراره,C
بعد,N
از,N
طلوع,N
آفتاب,N
حمله,N
کنن,C
دستور,N
دارم,N
که,N
جلوشون,C
رو,C
بگیرم,N
,
یه,C
چیز,F
آشغالی,N
داخله,C
آقا,N
پسر,N
,
مردم,N
فکر,F
می‌کنند,F
فقط,N
یک,F
نوعه,C
ولی,N
انواع,N
مختلفی,N
دارند,F
,
این,N
مکان,N
یک,F
راه,N
عبور,N
باشد,F
,
ما,N
دو,N
گردان,N
رو,C
از,N
دست,F
میدیم,C
هزار,N
و,N
ششصد,F
مرد,N
که,N
برادرت,N
هم,N
جزشونه,C
,
ستوان,N
لزلی,N
فرماندهی,N
را,F
به,N
عهده,N
دارد,F
,
اینها,F
را,F
از,N
کجا,N
می‌دانی؟,F
,
بهتره,C
حداقل,N
صبر,F
کنیم,N
تا,N
هوا,N
تاریک,N
بشه,C
,
مردم,N
رو,C
تختت,N
سکس,N
کردن,C
,
آن,F
خیلی,N
از,N
او,F
خون,N
رفته,N
,
نباید,N
این,N
جنگ,N
ادامه,N
پیدا,N
کنه,C
به,N
من,N
دستور,N
داده,N
شده,N
جلوش,C
رو,C
بگیرم,N
,
اون,C
رو,C
ببین,N
حروم,C
زاده,N
کوچولوی,C
ازخودراضی,N
,
بهترین,N
قسمتش,N
اونجاست,C
که,N
به,N
حدی,N
روغن,N
زده,N
بود,N
,
یا,N
می‌خواهی,F
ما,N
را,F
تنها,N
بگذاری؟,F
,
نه,N
مایل,N
چقدر,F
طول,N
می‌کشد؟,F
شش,N
ساعت؟,N
نهایت,N
هشت,N
ساعت,N
,
سرجوخه,N
بلیک,N
شجاعت,N
کم,N
نظیری,N
در,N
نجات,N
,
سرهنگ,N
ما,N
منور,N
علامت,N
افراد,N
جناح,N
چپ,N
رو,C
دیدیم,N
,
نقشه,N
رو,C
روی,N
سایت,N
نگاه,N
کردی؟,N
,
یه,C
شرط,N
گذاشتیم,N
امروز,N
چه,N
روزیه؟,C
,
هواپیما,N
زدش؟,C
ما,N
دودش,N
رو,C
دیدیم,N
,
من,N
غریب,N
رهرویی,N
بی‌چاره‌ام,F
,
هیچ,N
راهی,N
نداره,C
بری,C
اون,C
تو,N
رفیق,N
,
مراقب,N
گودال,N
ها,F
باشید,F
عمیق,N
تر,N
از,N
اونی,C
هستن,C
که,N
نشون,C
میدن,C
,
بی‌خیال,N
من,N
نبودم,N
آن,F
منو,C
زد,N
,
سرهنگ,N
منورها,F
رو,C
دیدیم,N
افراد,N
جبهه,N
چپی,N
,
اولین,N
قرار,N
ما,N
بود,N
,
بلیک,N
بیا,N
درموردش,N
حرف,N
بزنیم,N
,
می‌دانم,F
راهم,N
خیلی,N
سخت,N
و,N
ناهموار,N
است,F
,
رود,N
می‌رود,F
آن,F
جا,N
درخت‌ها,F
کروسی,N
,
همین,N
الان,N
باید,N
باهم,N
بهم,C
بزنیم,N
,
موشها,F
به,N
ما,N
کاری,N
نداشتن,C
ولی,N
افتاده,N
بودن,C
به,N
جان,F
آن,F
,
سرباز,N
کوک,N
خیلی,N
خب,N
دوباره,N
شروع,N
شد,N
بچه,N
ها,F
,
پوششی,N
هست,F
قربان؟,N
جایی,N
که,N
بشود,F
از,N
او,F
حمله,N
کرد؟,N
,
ولی,N
عازم,N
سرزمینی,N
هستم,F
,
با,N
اولین,N
علامت,N
گروهان,N
آلفا,N
پیشروی,N
میکنه,C
بعدش,N
گروهان,N
بتا,N
به,N
سمت,N
خط,N
مقدم,N
حرکت,N
کنه,C
,
ولی,N
مزارع,N
طلایی,N
درست,F
پیشروی,N
من,N
هست,F
,
اصلا,N
خبر,N
ندارن,C
که,N
قراره,C
وارد,N
چه,N
هچلی,N
بشن,C
,
خب,N
جون,C
سالم,N
به,N
در,N
بردی,N
حداقل,N
نشانت,F
رو,C
بنداز,N
,
به,N
گروهبان,N
ها,F
بگو,N
برگردن,C
از,N
زخمی,N
ها,F
مراقبت,N
کنین,C
,
یک,F
منحرف,N
درون,N
تخت,N
من,N
هست,F
,
و,N
گردان,N
دوم,N
دوون,N
دارند,F
به,N
سمت,N
این,N
نقطه,N
پیشروی,N
می‌کنند,F
,
چون,N
تا,N
هوا,N
تاریک,N
نشود,F
نمی‌توانیم,F
بیایم,F
دنبالتان,F
,
زیر,N
آبی,N
چه؟,F
تاحالا,N
زیر,N
آب,N
بودین؟,C
,
و,N
ببینم,N
تمام,F
عزیزانم,F
که,N
رفته,N
اند,F
,
که,N
در,N
این,N
دنیای,N
غم,N
بار,N
رهسپارم,C
,
خیلی,N
خب,N
پس,N
این,N
یکی,N
چه؟,F
,
خط,N
مقدم,N
را,F
جلو,N
بروید,F
تا,N
به,N
یورک‌ها,F
برسید,F
,
راسی,N
درون,N
این,N
دویست,N
سالی,N
که,N
سرباز,N
بودم,N
این‌چنین,N
,
باشه,C
اصلا,N
فرض,N
میکنیم,N
که,N
آلمان,N
ها,F
رفتن,C
,
که,N
بیشتر,N
از,N
<,N
عدد,N
>,N
ماه,N
عمر,N
کنه,C
,
بسوی,F
خانه,F
حقیقی,N
خواهم,F
رفت,F
,
ببین,N
آخرین,N
باری,N
که,N
بهمون,C
گفتن,C
آلمان,N
ها,F
عقب,N
نشینی,N
کردن,C
که,N
خوب,N
پیش,N
نرفت,F
,
تا,N
نزدیکترین,N
شهر,N
<,N
عدد,N
>,N
دقیقه,N
راهه,C
,
مزه,N
گه,N
می‌دهد,F
خوب,N
هست,F
کس,N
خل,N
,
اما,N
زمین‌های,F
طلایی,N
را,F
در,N
پیش,N
دارم,N
,
باید,N
شیشه,N
رو,C
برگردونی,C
سر,N
جاش,C
,
کوتبرتز,N
کوئین,N
آنز,N
مونه,N
مورنسیز,N
شیرین,N
ترش,N
,
دارین,C
می‌روید,F
جنوب,N
خندق,N
احمق‌ها,F
,
روی,N
لیوان,N
شراب,N
لکه,N
رژ,N
لب,N
بود,N
,
میرم,C
باهاش,C
حرف,N
بزنم,N
واقعا,N
کارش,N
خوب,N
نبود,N
,
ببندیش,C
چند,F
روز,N
دیگه,C
بازم,C
میتونی,C
جق,N
بزنی,N
,
خوب,N
بعد,N
از,N
حمامت,F
می‌توانی,F
با,N
آن,F
قرار,N
بگذاری,F
,
یک‌خرده,F
از,N
آن,F
شانس,N
را,F
نگه‌دار,N
برای,F
خودت,N
رفیق,N
فکر,F
کنم,N
لازم,N
ت,N
می‌شه,C
,
بالا,N
دیگر,F
می‌توانی,F
از,N
کنار,N
رد,N
شی,C
,
نمی‌توانست,F
بشورش,N
شده,N
بود,N
آهن‌ربا,N
,
پس,N
قصد,N
داری,N
بنشینی,F
منو,C
نگاه,N
کنی؟,N
,
البته,N
تا,N
وقتی,N
شب,N
نشه,C
ما,N
نمیایم,C
برداریمتون,C
,
من,N
فقط,N
غریب,N
رهرویی,N
بی,N
چاره,N
ام,N
,
پس,N
حالا,N
همه,N
چی,C
به,N
تو,N
محول,N
شده؟,N
,
دارید,F
به,N
سمت,N
یک,F
سنگر,N
خراب,N
شده,N
می‌رید,C
احمقهای,F
دیوانه,F
,
دارد,F
همه,N
چی,C
می‌ریزد,F
پایین,N
,
یه,C
شب,N
آلمانی,N
ها,F
صداشون,C
در,N
نیومد,C
حالا,N
فکر,F
کردن,C
رفتن,C
,
قربان,N
من,N
دستور,N
دارم,N
که,N
جلوی,N
این,N
حمله,N
رو,C
بگیرم,N
,
برادرت,N
ما,N
باید,N
راه,N
بیفتیم,N
,
تو,N
از,N
نیروهای,F
من,N
نیستی,F
نه,N
قربان,N
,
فضای,C
را,F
مستقیماً,N
پشتشون,C
می‌بینی,N
,
تو,N
به,N
آن,F
مدیونی,N
که,N
حداقل,N
سعیت,N
را,F
بکنی,N
و,N
از,N
اینجا,N
بروی,F
بیرون,N
,
بابا,N
داری,N
مار,N
تو,C
آستینت,N
بزرگ,N
می‌کنی,N
,
درست,F
میگم,C
ستوان؟,N
بله,N
قربان,N
همینطوره,C
,
سرباز,N
دوم,N
بلیک,N
شهامت,N
بی‌نظیری,N
از,N
خود,N
نشان,F
,
خیلی,N
وقت,N
نیست,F
که,N
رفتن,C
,
امکان,N
نداره,C
که,N
بتونی,C
بری,C
تو,C
رفیق,N
,
بیدار,N
شو,N
کیلگور,N
حیف,N
نون,C
,
نه,N
من,N
چیزی,N
رو,C
درست,F
نکردم,N
,
گفتم,N
شاید,N
اینجا,N
یه,C
خوراک,N
درست,F
گیرمون,C
بیاد,C
بخوریم,N
,
خب,N
اینطور,N
نبود,N
هی,N
آن,F
مسواک,N
من,N
هست؟,F
,
دو,N
شب,N
پیش,N
مثل,F
سگ,N
کشتنشون,C
,
بهتر,N
از,N
تو,N
زبانمان,F
را,F
بلده,C
کوک,N
,
عوضی,N
ستوانمون,C
را,F
ناکار,N
کرد,N
N,C
زخمیه,C
,
زودباش,N
دیگه,C
میتونی,C
از,N
کناره,C
جاده,N
رد,N
بشی,C
,
آن,F
ها,F
آن,F
طرف,N
خانه,F
ان,F
,
سرباز,N
دوم,N
بلیک,N
شهامت,N
بی,N
نظیری,N
از,N
خود,N
نشان,F
,
خط,N
مقدم,N
رو,C
جلو,N
برید,C
تا,N
به,N
یورک,N
ها,F
برسید,F
,
آره,C
با,N
این,N
سرعتی,N
که,N
حرکت,N
می‌کند,F
مگر,F
معجزه,N
رخ,N
بده,C
,
روحشون,C
هم,N
خبر,N
ندارد,F
قرار,N
هست,F
چه,N
بلایی,N
سرشون,C
بیاید,F
,
مادرم,N
پشت,N
خانه,F
یک,F
باغچه,N
دارد,F
چندتا,F
درخت,N
داخلش,N
هست,F
,
درون,N
کامیون,N
زخمی‌ها,F
جا,N
هست,F
قربان,N
,
برای,F
خودت,N
بیا,N
همه,N
رو,C
بردار,N
,
بخش,N
نه,N
و,N
ده,N
آماده,N
باشند,F
,
آن,F
را,F
به,N
خانواده‌ات,F
می‌دادی,F
,
پس,N
تا,N
زمان,N
غروب,N
آفتاب,N
وقت,N
داریم,N
,
نقشه‌های,F
هوایی,N
خط,N
جدید,N
,
ولی,N
مقامات,N
به,N
خاطر,N
برف,N
مخالف,N
بودن,C
,
خب,N
پس,N
اداشو,C
در,N
بیار,C
جانگالار,N
نشون,C
بده,N
,
باشه,C
گروه,N
ضربت,N
در,N
موقعیته,C
و,N
اماده,N
برگردوندن,C
برقه,C
,
بیخیال,N
چیش,C
رو,C
نفهمیدم؟,N
,
نزدیکترین,N
راه,N
خروج,N
کجا,N
است,F
قربان؟,N
,
با,N
شناختی,N
که,N
از,N
ستوان,N
بلیک,N
دارم,N
احتمال,N
زیاد,N
با,N
سربازهاش,F
تو,C
حمله,N
هست,F
,
<,
>,
مطمئنی,C
از,N
پس,N
دیدنش,N
برمیآیی؟,F
<,
>,
,
معطل,N
نکن,N
بله,N
قربان,N
,
باید,N
میذاشتیم,C
آلمانیا,C
نگهش,N
دارن,C
,
اوه,N
این,N
خیلی,N
حال,N
بهم,C
زن,N
نه,N
,
بیخیال,N
من,N
اینکارو,C
نکردم,N
اول,N
اون,C
شروع,N
کرد,N
,
حتماً,N
شکایتت,N
را,F
به,N
فرمانده,N
میگم,C
,
سیمهای,F
خاردارمون,C
کارتون,C
رو,C
سخت,N
میکنن,C
ولی,N
هر,N
طور,N
شده,N
یه,C
راه,N
خروج,N
پیدا,N
میشه,C
,
گفتم,N
که,N
خوب,N
بود,N
حالا,N
تو,N
بگو,N
,
منم,C
خیلی,N
رقصیدن,N
دوست,F
دارم,N
,
مولی,N
دانشگاه,N
می‌رود,F
خب,N
منم,C
دبیرستانی‌ام,F
,
حتما,N
موضوع,N
مهمیه,C
که,N
ژنرال,N
اومده,C
این,N
جا,N
,
پس,N
اینها,F
دیگه,C
رشد,N
نمیکنن؟,C
,
بهتر,N
بود,N
فقط,N
از,N
یک,F
هتل,N
اجاره,N
می‌کردیم,N
,
می‌توانی,F
بیخیالش,N
بشوی؟,F
نه,N
قربان,N
,
ولی,N
برای,F
ایشان,F
خیلی,N
خوب,N
شد,N
,
سرباز,N
بلیک,N
در,N
راه,N
نجات,N
هم,N
رزمش,N
,
حالا,N
ازتون,C
میخوام,C
که,N
سریع,N
باشید,F
متوجه,N
شدید؟,F
متوجه,N
شدید؟,F
,
قرار,N
بود,N
چند,F
هفته,N
پیش,N
حمله,N
کنند,F
گفته‌اند,F
تا,N
قبل,N
از,N
کریسمس,N
ما,N
را,F
میفرستند,F
خانه,F
,
ناامید,N
نشو,N
ظاهرا,N
عقب‌نشینی,N
استراتژیکیه,C
,
و,N
پیش,N
روانپزشک,N
مرکز,N
فرستاده,N
شد,N
,
در,N
مورد,N
خودت,N
بگو,N
,
پس,N
چه,N
اتفاقی,N
براش,C
افتاد؟,N
چرا,N
واست,C
اهمیت,N
داره؟,C
,
چرا,N
راحت,N
و,N
بی,N
دردسر,N
بیخیال,N
نمیشن؟,C
,
اگر,F
یک,F
سرباز,N
را,F
دیدی,N
اسلحه,N
تو,C
اینطوری,C
بیاور,F
بالا,N
اینطوری؟,C
,
تو,N
یک,F
آدم,N
کوچولو,C
است,F
چندشی,N
,
نهریال,N
اون,C
بچه,N
هم,N
نه,N
,
دارید,F
به,N
سمت,N
یک,F
سنگر,N
تخریب,N
شده,N
می‌رید,C
احمقای,C
دیوانه,F
,
ممکنه,C
گیلاس,N
دوک,N
باشن,C
وقتی,N
هنوز,N
بار,N
نیومدن,C
تشخیص,N
ش,N
سخته,C
,
تو,N
یک,F
برادر,N
ستوان,N
در,N
گردان,N
دوم,N
دوونز,N
داری؟,N
,
این,N
قلمروی,N
دشمن,N
هست,F
روح,N
مونم,C
خبر,N
ندارد,F
که,N
داریم,N
پا,N
درون,N
چه,N
می‌گذاریم,F
,
اگر,F
نتونین,C
یک,F
کشتار,N
بزرگ,N
صورت,N
می‌گیرد,F
,
ولی,N
بعضی,N
آدم‌ها,F
فقط,N
می‌خواهند,F
بجنگند,F
,
برو,N
یکی,N
به,N
جراحاتت,N
برسه,C
,
چقدر,F
طول,N
میکشه,C
که,N
به,N
اونجا,C
برسی؟,N
,
رودخانه,F
به,N
آنجا,F
می‌رود,F
درختها,F
کروزیل,N
,
هی,N
کی,N
آخرین,N
بار,N
آمده,F
بیرون؟,N
,
گردان,N
دوم,N
قراره,C
فردا,N
اندکی,N
بعد,N
از,N
سپیده,N
دم,N
به,N
اون,C
خط,N
حمله,N
کنه,C
,
و,N
اگه,C
بتونه,C
خطشون,C
رو,C
الان,N
بشکنه,C
اوضاع,N
رو,C
عوض,N
میکنه,C
,
اوه,N
اینجا,N
گذاشتندش؟,F
صبر,F
کن,N
عدد,N
؟,N
,
هی,N
راننده,N
چطور,N
برای,F
تنوع,N
هم,N
که,N
شده,N
توی,C
جاده,N
لعنتی,N
برونی؟,C
,
خط,N
لمان,N
حدودا,N
عدد,N
یارد,N
بعدشه,C
,
خب,N
حتماً,N
عدم,N
تمایلت,N
را,F
به,N
دستور,N
می‌رسانم,F
,
من,N
بیشتر,N
از,N
وقتی,N
که,N
آن,F
زنده,N
بود,N
اینجام,C
,
تو,N
میتونی,C
بدون,N
من,N
بری,C
من,N
خودم,N
رو,C
بهت,C
میرسونم,C
,
خاک,N
دشمن,N
نمی‌دانیم,F
داریم,N
وارد,N
چه,N
قضیه‌ای,N
میشیم,C
,
تو,N
لیاقتت,N
بیشتر,N
از,N
آن,F
کثافته,C
,
خاطرجمع,N
شو,N
که,N
شاهدینی,N
وجود,N
داشته,N
باشد,F
,
هانی‌ها,F
یک,F
کاری,N
می‌خواهند,F
بکنند,F
,
توی,C
سیم,N
خاردار,N
یه,C
حفره,N
هستش,C
,
خب,N
نگذاشتی,F
هی,N
آن,F
مسواک,N
من,N
هست؟,F
,
اون,C
وسیله,N
هاشو,C
خونه,C
ی,N
من,N
جا,N
گذاشت,N
برای,F
همین,N
منم,C
,
شروع,N
می‌کند,F
بالا,N
آوردن,N
و,N
ماییم,C
که,N
تو,N
دردسر,N
می‌افتیم,F
,
خب,N
الان,N
گزینه,N
هامون,C
چین,C
گروهبان؟,N
,
اگر,F
بیفتید,N
داخلشون,C
دیگه,C
بیرون,N
نمیاید,F
,
خدایا,N
من,N
با,N
این,N
چه,F
کار,N
کنم,N
آخر؟,F
برو,N
با,N
فرمانده,N
حرف,N
بزن,N
,
کل,N
شب,N
رو,C
طول,N
کشید,N
,
آنجا,F
چه,F
داری؟,N
نان,F
و,N
ژامبون,N
,
بنظر,N
خودت,N
میتونی,C
به,N
موقع,N
برسی,N
اونجا؟,C
,
بهتر,N
بود,N
هتل,N
می‌گرفتیم,N
,
امکان,N
ندارد,F
که,N
بتوانی,F
بروی,F
تو,C
رفیق,N
,
من,N
از,N
در,N
جلو,N
می‌روم,F
تو,N
از,N
در,N
پشتی,N
,
در,N
پناه,N
حق,N
باشد,F
که,N
خدا,N
تمامی,F
,
و,N
بدتر,N
از,N
همه,N
اونقدر,C
به,N
سرش,N
روغن,N
مالیده,N
بود,N
,
یک,F
ثانیه,N
وقت,N
بده,N
,
یکی,N
مثل,F
تو,N
دندون,C
میخواد,C
چیکار؟,C
,
دارم,N
میرم,C
خونه,C
به,N
دیدار,N
مادرم,N
,
بیا,N
یکم,N
از,N
مال,N
من,N
بخور,N
,
یه,C
نامه,N
برای,F
مادرم,N
مینویسی؟,N
,
و,N
همرزم,N
خود,N
را,F
از,N
مرگ,N
حتمی,N
نجات,N
داد,N
و,N
این,N
مدال,N
بدین,C
سبب,N
,
ظاهرا,N
افسران,N
ارشد,N
از,N
کریسمس,N
و,N
برفبازی,N
خوششون,C
نمی‌آید,F
,
اگر,F
بخواهی,F
می‌توانی,F
بروی,F
خانه,F
,
یا,N
خدا,N
نه,N
یا,N
خدا,N
نه,N
,
و,N
اگر,F
بتونه,C
خطشون,C
را,F
الان,N
بشکند,F
اوضاع,N
را,F
عوض,N
می‌کند,F
,
مثلا,N
قرار,N
بود,N
اون,C
سروان,N
بوفوی,N
باشه؟,C
,
و,N
چرا,N
اینقدر,C
از,N
این,N
آدم‌ها,F
وجود,N
دارد؟,F
,
بخاطر,N
همین,N
بود,N
نرفتم,N
کشیش,N
بشوم,F
,
ما,N
فکر,F
کنم,N
دو,N
به,N
یک,N
یم,C
,
اگر,F
دلت,N
می‌خواهد,F
می‌توانی,F
برگردی,N
به,N
آن,F
خانه,F
لعنتیت,N
,
تو,N
خدا,N
به,N
را,F
من,N
الآن,N
باید,N
بروم,F
تو,N
خدا,N
به,N
را,F
,
ورودیش,N
خیلی,N
باریکه,C
هیچکس,N
هم,N
صدامون,C
را,F
نمی‌شنود,F
,
خیلی,N
خب,N
دوباره,N
راه,N
افتادیم,N
پسرا,C
,
خیلی,N
خب,N
می‌توانی,F
فقط,N
یک,F
فرصتی,N
به,N
آن,F
جا,N
بدی؟,N
,
به,N
خانواده‌ای,N
که,N
درون,N
شهر,N
سیلور,N
هست,F
بده,N
,
صدها,N
هزاران,N
ساعت,N
فیلم,N
روی,N
هارد,N
دیسک,N
ها,F
,
همه,N
کنار,N
استخر,N
هستن؟,C
اره,N
,
در,N
این,N
دنیای,N
پر,N
از,N
غصه,N
سیاحت,N
می‌کنم,N
,
با,N
یک,F
شب,N
آرام,N
و,N
مقامات,N
فکر,F
کردند,F
هانی‌ها,F
رفتن,C
خانه؟,F
,
صف,N
آلمانی,N
ها,F
رو,C
شکستن,C
,
نباید,N
این,N
کار,N
را,F
بکنید,F
خواهش,N
می‌کنم,N
افرادتون,C
رو,C
نفرستید,F
,
اونجا,C
از,N
اون,C
خیلی,N
خوب,N
ها,F
داری,N
,
نمی‌دانستم,F
برای,F
چه,F
انتخابت,N
می‌کنم,N
,
آلمانها,F
قصد,N
انجام,N
تحرکاتی,N
را,F
دارند,F
,
تو,N
بهش,C
مدیونی,N
که,N
حداقل,N
سعیت,N
رو,C
بکنی,N
و,N
از,N
اینجا,N
بری,C
بیرون,N
,
بعد,N
میبینن,C
که,N
ایا,N
هنوز,N
همو,C
دوس,C
دارن,C
,
سریعا,N
برید,C
از,N
این,N
خندق,N
به,N
سمت,N
غرب,N
برید,C
تا,N
خیابان,N
ساکی,N
هال,N
بعد,N
شمال,N
غرب,N
تا,N
کوچ,N
پارادایس,N
در,N
خط,N
مقدم,N
,
هی,N
دنیل,N
تاحالا,N
مهاجران,N
کاتان,N
را,F
بازی,N
کردی؟,N
,
گردان,N
دوم,N
قراره,C
فردا,N
صبح,F
اول,N
وقت,N
حمله,N
کنه,C
,
یه,C
زوجی,N
رو,C
میشناسم,N
که,N
اشتباهی,N
حامله,N
شدن,C
,
سرجوخه,N
های,N
هم,N
ردیف,N
بلیک,N
و,N
اسکافیلد,N
قربان,N
,
لعنتی‌ها,F
چرا,N
فقط,N
تسلیم,N
نمی‌شوند؟,F
,
فقط,N
واسه,C
همین,N
کشیش,N
نشدم,N
,
خون,N
زیادی,N
از‌دست‌داده,F
,
تا,N
پل,N
بعدی,N
عدد,N
کیلومتر,N
راهه,C
مجبوریم,N
تغییر,N
مسیر,N
بدیم,C
,
پس,N
حتما,N
نارضایتیت,N
رو,C
به,N
بالا,N
گزارش,N
میدم,C
,
می‌دانی,F
مثلاً,N
چه,N
اتفاقی,N
درون,N
زندگیشون,C
می‌افتد,F
که,N
از,N
حد,N
خودشان,F
می‌گذرند,F
,
معبر,N
امنی,N
وجود,N
ندارد,F
قربان؟,N
یک,F
جایی,N
که,N
بتوانیم,F
بپریم,N
داخلش,N
و,N
برویم؟,F
,
کمر,N
به,N
پایین,N
ش,N
رو,C
گهی,N
کرد,N
,
با,N
الکی,N
آنها,F
به,N
دریا,N
رفتند,F
,
باید,N
سعی,N
کنی,N
حرکت,N
کنی,N
بگذار,F
بنشینیم,F
,
هتل,N
اورلوک,N
کارهای,F
بیشتری,N
برای,F
انجام,N
دادن,N
داشت,F
,
اگه,C
بیفتید,N
داخلشون,C
دیگه,C
بیرون,N
اومدنی,C
در,N
کار,N
نیست,F
از,N
این,N
طرف,N
,
خط,N
آلمانی,N
عدد,N
متر,N
اونوتره,C
,
تو,N
در,N
گردان,N
دوم,N
دوون,N
یه,C
برادر,N
داری؟,N
,
